ID,CLASS,IDX_B,IDX_O,TEXT
135_38.ann_R1,Attack,Ent1:T32,Ent2:T12,
135_38.ann_R2,Attack,Ent1:T34,Ent2:T14,
135_38.ann_R3,Attack,Ent1:T36,Ent2:T28,
135_38.ann_R4,Support,Ent1:T37,Ent2:T23,
135_38.ann_R5,Support,Ent1:T38,Ent2:T19,
135_38.ann_R6,Support,Ent1:T38,Ent2:T23,
135_38.ann_R7,Support,Ent1:T6,Ent2:T19,
135_38.ann_R8,Support,Ent1:T6,Ent2:T23,
150_201.ann_R1,Support,Ent1:T14,Ent2:T5,
150_201.ann_R2,Support,Ent1:T15,Ent2:T14,
183_64.ann_R3,Support,Ent1:T13,Ent2:T9,
183_64.ann_R4,Support,Ent1:T13,Ent2:T8,
183_64.ann_R5,Support,Ent1:T13,Ent2:T5,
183_64.ann_R6,Support,Ent1:T13,Ent2:T4,
183_64.ann_R7,Attack,Ent1:T13,Ent2:T7,
183_64.ann_R1,Support,Ent1:T1,Ent2:T10,
183_64.ann_R2,Support,Ent1:T2,Ent2:T10,
111_153.ann_R1,Support,Ent1:T12,Ent2:T4,
111_153.ann_R2,Support,Ent1:T13,Ent2:T4,
111_153.ann_R3,Support,Ent1:T1,Ent2:T4,
111_153.ann_R4,Attack,Ent1:T21,Ent2:T6,
111_153.ann_R5,Attack,Ent1:T1,Ent2:T6,
111_153.ann_R6,Attack,Ent1:T20,Ent2:T5,
111_153.ann_R7,Attack,Ent1:T22,Ent2:T7,
111_153.ann_R8,Support,Ent1:T22,Ent2:T4,
111_153.ann_R9,Attack,Ent1:T19,Ent2:T14,
127_77.ann_R1,Support,Ent1:T1,Ent2:T17,
127_77.ann_R2,Support,Ent1:T3,Ent2:T17,
127_77.ann_R3,Support,Ent1:T4,Ent2:T20,
127_77.ann_R4,Support,Ent1:T6,Ent2:T21,
127_77.ann_R5,Support,Ent1:T8,Ent2:T22,
127_77.ann_R6,Support,Ent1:T7,Ent2:T22,
127_77.ann_R7,Support,Ent1:T24,Ent2:T13,
127_77.ann_R8,Attack,Ent1:T25,Ent2:T12,
127_77.ann_R9,Attack,Ent1:T25,Ent2:T10,
127_77.ann_R10,Attack,Ent1:T6,Ent2:T10,
127_77.ann_R11,Attack,Ent1:T6,Ent2:T12,
127_77.ann_R12,Attack,Ent1:T26,Ent2:T11,
127_77.ann_R13,Attack,Ent1:T29,Ent2:T9,
127_77.ann_R14,Attack,Ent1:T30,Ent2:T9,
127_77.ann_R15,Attack,Ent1:T6,Ent2:T9,
184_65.ann_R1,Support,Ent1:T15,Ent2:T5,
184_65.ann_R2,Attack,Ent1:T15,Ent2:T6,
184_65.ann_R3,Attack,Ent1:T15,Ent2:T7,
184_65.ann_R4,Attack,Ent1:T15,Ent2:T8,
184_65.ann_R5,Attack,Ent1:T15,Ent2:T9,
130_82.ann_R1,Support,Ent1:T16,Ent2:T10,
130_82.ann_R2,Support,Ent1:T1,Ent2:T10,
130_82.ann_R3,Support,Ent1:T21,Ent2:T10,
130_82.ann_R4,Support,Ent1:T22,Ent2:T10,
130_82.ann_R5,Support,Ent1:T19,Ent2:T10,
130_82.ann_R6,Support,Ent1:T20,Ent2:T10,
130_82.ann_R7,Support,Ent1:T2,Ent2:T10,
130_82.ann_R8,Support,Ent1:T3,Ent2:T10,
130_82.ann_R9,Attack,Ent1:T24,Ent2:T6,
130_82.ann_R10,Attack,Ent1:T1,Ent2:T6,
130_82.ann_R11,Attack,Ent1:T26,Ent2:T9,
130_82.ann_R12,Support,Ent1:T19,Ent2:T9,
130_82.ann_R13,Attack,Ent1:T27,Ent2:T7,
130_82.ann_R14,Attack,Ent1:T3,Ent2:T7,
