ID,CLASS,IDX_B,IDX_O,TEXT
135_38.ann_T1,Premise,40,120,A 64-year-old man with Child A liver cirrhosis with no history of decompensation
135_38.ann_T2,Premise,122,243,"After detection of a focal hepatic lesion on screening ultrasound, the study is completed with a thoracoabdominal CT scan"
135_38.ann_T3,Premise,245,434,"This scan showed the presence of 4 liver lesions (one of them up to 6 cm) with uptake pattern typical of hepatocarcinoma, tumor vascular invasion and a metastasis in the right adrenal gland"
135_38.ann_T4,Premise,436,458,No ascites is observed
135_38.ann_T5,Premise,460,518,"The patient reports only asthenia, but no general syndrome"
135_38.ann_T27,Claim,563,685,"Symptomatic and supportive treatment, since he presented an advanced hepatocarcinoma with vascular invasion and metastasis"
135_38.ann_T28,Claim,690,810,"Transarterial chemoembolization (TACE), since the treatment increases survival in patients with advanced hepatocarcinoma"
135_38.ann_T29,Claim,815,931,Systemic chemotherapy with doxorubicin iv since he presents disseminated disease but he is in good general condition
135_38.ann_T30,Claim,936,1069,"Treatment with oral sorafenib, since this is a patient with good general condition, Child A and advanced stage hepatocarcinoma BCLC-C"
135_38.ann_T31,Claim,1074,1242,The appropriate treatment is liver transplantation as it is the only procedure that completely eliminates the primary tumor and avoids future complications of cirrhosis
135_38.ann_T34,Claim,1271,1483,"The patient presents a good general condition with a recently diagnosed hepatocarcinoma, not giving him any type of treatment other than symptomatic and supportive at this stage would not be the right thing to do"
135_38.ann_T35,Claim,1485,1548,TACE would not be indicated because of extrahepatic involvement
135_38.ann_T37,Claim,1550,1619,Transplantation would also not be done if he has extrahepatic disease
135_38.ann_T39,Claim,1621,1720,"We are left with answers 3 and 4, both with systemic treatment (indicated because it is metastatic)"
135_38.ann_T41,Claim,1725,1783,"the correct answer is 4, for all the reasons given therein"
150_201.ann_T1,Premise,42,111,We are consulted by an 84-year-old woman for insomnia of conciliation
150_201.ann_T2,Premise,113,202,"After failing sleep hygiene measures, it is decided to initiate pharmacological treatment"
150_201.ann_T4,Claim,270,278,Diacepam
150_201.ann_T5,Claim,283,295,Lormetacepam
150_201.ann_T6,Claim,300,313,Phenobarbital
150_201.ann_T7,Claim,318,334,Chlordiazepoxide
150_201.ann_T8,Claim,339,351,Chloracepate
150_201.ann_T14,Claim,371,577,"Knowing that we have taken measures of sleep hygiene, we have explored what provokes him not to sleep, and he does not sleep nine hours and still wants to sleep more,...then the less harmful answer is the 2"
150_201.ann_T16,Claim,579,684,Because it is the one with the shortest half-life and he does not want the lady to fall down the next day
183_64.ann_T1,Premise,45,226,"A patient on enteral nutritional support presents 72 hours after starting enteral nutrition with a CBC showing hypophosphoremia and hypokalemia, with clinical signs of heart failure"
183_64.ann_T3,Premise,228,276,The patient is diagnosed with refeeding syndrome
183_64.ann_T5,Claim,391,420,Previous caloric malnutrition
183_64.ann_T6,Claim,425,441,Anorexia nervosa
183_64.ann_T8,Claim,446,464,Non-morbid obesity
183_64.ann_T9,Claim,469,476,Elderly
183_64.ann_T10,Claim,481,512,Prolonged vomiting and diarrhea
